response_id,user_id,learning_content_surrogate_key,course_end_date,course_delivery_type,agency,attendance_motivation,positive_learning_experience,effective_use_of_time,relevant_to_work,did_experience_issue,did_experience_issue_detail,facilitator_skills,had_guest_speakers,guest_contribution,knowledge_level_prior,course_application,course_application_other,course_application_timeframe,general_feedback
1,23,45,2025-04-05,Blended,Services Australia,To improve my performance in my current role,1,2,4,One or more elements of the course did not meet my accessibility needs and no suitable alternative was provided,The content was very insightful.,Provided clear responses to learner questions,No,,Early Practitioner,I can put what I have learned into my own words; During the course I had the opportunity to practice new skills,,Within the next month,Could be more interactive.
2,1,20,2025-02-05,In-person,Department of Home Affairs,To improve my performance in my current role,3,1,3,"Learning resources, such as workbooks or slides, were poorly designed or inconsistent with each other",The content was very insightful.,Used examples that are relevant to my context,No,,Expert,I am still unsure how to apply what I have learned,,I do not intent to apply anything covered in this course,Facilitator was excellent.
3,35,42,2025-03-15,In-person,Department of Foreign Affairs and Trade (DFAT),Recommendation from others who have attended; To improve my performance in my current role,3,1,3,None of the above,,None of the above,No,,Novice,The course has prompted me to reflect in how I will do things differently; I can put what I have learned into my own words; During the course I had the opportunity to practice new skills,,I do not intent to apply anything covered in this course,Facilitator was excellent.
4,45,24,2025-04-08,Blended,Australian Public Service Commission (APSC),To improve my performance in my current role,2,2,1,One or more elements of the course did not meet my accessibility needs and no suitable alternative was provided,Could be more interactive.,Communicated clearly,No,,Expert,I have a plan on how I will apply what I have learned; During the course I had the opportunity to practice new skills,,Within the next month,Facilitator was excellent.
5,19,31,2025-03-30,In-person,Department of Education,Recommendation from others who have attended,5,2,5,None of the above,,Displayed strong knowledge of the subject matter; Used examples that are relevant to my context,No,,Beginner,The course has prompted me to reflect in how I will do things differently; I can put what I have learned into my own words; I have increased my confidence in my ability to use what I have learned,,I do not intent to apply anything covered in this course,The content was very insightful.
6,1,82,2025-01-30,Virtual,Department of Home Affairs,To improve my performance in my current role; My attendance was mandatory,2,2,2,None of the above,,Displayed strong knowledge of the subject matter,Yes,Strengthened my understanding of they key concepts; Brought specialist knowledge or expertise,Early Practitioner,During the course I had the opportunity to practice new skills; I can put what I have learned into my own words; I have a plan on how I will apply what I have learned,,Longer term,Enjoyed the practical exercises.
7,45,12,2025-09-05,Blended,Australian Public Service Commission (APSC),My supervisor/manager encouraged me to attend,1,1,3,One or more elements of the course did not meet my accessibility needs and no suitable alternative was provided,Enjoyed the practical exercises.,Managed time and pacing,No,,Experienced Practitioner,I have taken away useful tools or resources,,I do not intent to apply anything covered in this course,Enjoyed the practical exercises.
8,23,45,2025-04-05,Blended,Services Australia,Recommendation from others who have attended,5,1,5,None of the above,,None of the above,No,,Novice,I have increased my confidence in my ability to use what I have learned; I can put what I have learned into my own words; I am still unsure how to apply what I have learned,,Immediately,A bit too fast-paced for me.
9,48,90,2025-04-10,In-person,Australian Bureau of Statistics (ABS),My attendance was mandatory,1,3,3,None of the above,,Used examples that are relevant to my context; Managed time and pacing; Displayed strong knowledge of the subject matter,Yes,Enhanced my understanding of how learning is relevant to my work context; Strengthened my understanding of they key concepts,Expert,During the course I had the opportunity to practice new skills; I have taken away useful tools or resources,,I will not have the opportunity to apply anything covered in this course,Could be more interactive.
10,8,73,2025-04-25,Blended,Services Australia,Recommendation from others who have attended,1,1,3,One or more elements of the course did not meet my accessibility needs and no suitable alternative was provided,Good resources provided.,None of the above,No,,Expert,I am still unsure how to apply what I have learned,,Immediately,Enjoyed the practical exercises.
11,14,67,2025-03-03,Virtual,"Department of Industry, Science and Resources",Recommendation from others who have attended,3,4,4,Technical difficulties negatively impacted my participation,The content was very insightful.,Displayed strong knowledge of the subject matter; Managed time and pacing,No,,Expert,I am still unsure how to apply what I have learned; I have increased my confidence in my ability to use what I have learned,,I am not sure,Met my expectations.
12,8,17,2025-03-03,Blended,Services Australia,To develop for a future role or career progression,1,2,1,None of the above,,Communicated clearly,Yes,The contributions of the guest speakers or presenters did not enhance my learning,Beginner,I have increased my confidence in my ability to use what I have learned; During the course I had the opportunity to practice new skills,,Immediately,Enjoyed the practical exercises.
13,48,90,2025-04-10,In-person,Australian Bureau of Statistics (ABS),To improve my performance in my current role,3,4,5,Technical difficulties negatively impacted my participation,Facilitator was excellent.,Displayed strong knowledge of the subject matter; Provided clear responses to learner questions; Encouraged participation and discussion,No,,Novice,I have taken away useful tools or resources; I am still unsure how to apply what I have learned; I have increased my confidence in my ability to use what I have learned,,I will not have the opportunity to apply anything covered in this course,Could be more interactive.
14,49,75,2025-01-15,In-person,Department of Education,To improve my performance in my current role; My supervisor/manager encouraged me to attend,2,1,3,None of the above,,Used examples that are relevant to my context,No,,Experienced Practitioner,The course has prompted me to reflect in how I will do things differently; I am still unsure how to apply what I have learned; I have a plan on how I will apply what I have learned,,I am not sure,Met my expectations.
15,33,10,2025-07-28,Blended,Australian Bureau of Statistics (ABS),Recommendation from others who have attended; To develop for a future role or career progression,2,1,5,None of the above,,Displayed strong knowledge of the subject matter; Used examples that are relevant to my context,Yes,Brought specialist knowledge or expertise,Novice,I have a plan on how I will apply what I have learned; During the course I had the opportunity to practice new skills; I have taken away useful tools or resources,,I will not have the opportunity to apply anything covered in this course,Good resources provided.
16,20,41,2025-06-03,In-person,Department of Foreign Affairs and Trade (DFAT),My attendance was mandatory; Recommendation from others who have attended,2,1,1,None of the above,,Used examples that are relevant to my context; Communicated clearly,No,,Early Practitioner,The course has prompted me to reflect in how I will do things differently; I have a plan on how I will apply what I have learned,,Immediately,Enjoyed the practical exercises.
17,50,50,2025-05-05,Blended,Department of Foreign Affairs and Trade (DFAT),My attendance was mandatory; To develop for a future role or career progression,4,1,3,"Learning resources, such as workbooks or slides, were poorly designed or inconsistent with each other",Enjoyed the practical exercises.,Displayed strong knowledge of the subject matter,Yes,Enhanced my understanding of how learning is relevant to my work context; Provided insights into the challenges and barriers I may face,Beginner,I have increased my confidence in my ability to use what I have learned; I have taken away useful tools or resources,,I will not have the opportunity to apply anything covered in this course,Looking forward to applying this.
18,41,10,2025-02-01,In-person,National Disability Insurance Agency (NDIA),Recommendation from others who have attended,5,3,4,None of the above,,Used examples that are relevant to my context; Displayed strong knowledge of the subject matter,Yes,Strengthened my understanding of they key concepts; Provided insights into the challenges and barriers I may face,Early Practitioner,Other,Facilitator was excellent.,Immediately,Some technical glitches with the platform.
19,45,24,2025-04-08,Blended,Australian Public Service Commission (APSC),To develop for a future role or career progression,1,3,5,None of the above,,Managed time and pacing,Yes,Strengthened my understanding of they key concepts,Novice,I am still unsure how to apply what I have learned; During the course I had the opportunity to practice new skills; I have a plan on how I will apply what I have learned,,Within the next month,Met my expectations.
20,14,67,2025-03-03,Virtual,"Department of Industry, Science and Resources",This course is a part of a broader learning pathway or program I am participating in,5,3,2,None of the above,,Provided clear responses to learner questions; Used examples that are relevant to my context,No,,Novice,I have a plan on how I will apply what I have learned,,I will not have the opportunity to apply anything covered in this course,Some technical glitches with the platform.
21,12,6,2025-05-10,Virtual,"Department of Agriculture, Fisheries and Forestry",Recommendation from others who have attended,5,3,3,None of the above,,Encouraged participation and discussion,Yes,Brought specialist knowledge or expertise; Strengthened my understanding of they key concepts,Novice,Other,Enjoyed the practical exercises.,Immediately,Good resources provided.
